created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-07-13T19:24:20-06:00,222,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:24:36-06:00,223,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:24:51-06:00,224,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:25:07-06:00,225,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:25:22-06:00,226,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:25:38-06:00,227,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:25:53-06:00,228,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:26:09-06:00,229,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:26:25-06:00,230,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:26:40-06:00,231,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:26:55-06:00,232,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:27:11-06:00,233,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:27:26-06:00,234,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:27:42-06:00,235,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:27:57-06:00,236,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:28:13-06:00,237,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:28:29-06:00,238,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:28:44-06:00,239,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:28:59-06:00,240,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:29:15-06:00,241,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:29:31-06:00,242,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:29:46-06:00,243,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:30:02-06:00,244,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:30:18-06:00,245,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:30:33-06:00,246,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:30:49-06:00,247,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:31:05-06:00,248,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:31:20-06:00,249,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:31:35-06:00,250,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:31:51-06:00,251,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:32:07-06:00,252,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:32:22-06:00,253,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:32:38-06:00,254,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:32:53-06:00,255,0,0,0,0,0,0,0,0,,,,
